country,lid
US,00AA
US,00AK
US,00AL
US,00AN
US,00AR
US,00AS
US,00CA
US,00CL
US,00FA
US,00FL
US,00GA
US,00ID
US,00IG
US,00IL
US,00IS
US,00KS
US,00KY
US,00LS
US,00MD
US,00MN
US,00NC
US,00NY
US,00OK
US,00PN
US,00SC
US,00SD
US,00TS
US,00TT
US,00TX
US,00VA
US,00VI
US,00WA
US,00WI
US,00WN
US,00WV
US,00XA
US,01AL
US,01AN
US,01CL
US,01CN
US,01FA
US,01FL
US,01GE
US,01ID
US,01IS
US,01LA
US,01MT
US,01NC
US,01NH
US,01NK
US,01NM
US,01NV
US,01OL
US,01PA
US,01PS
US,01SC
US,01TE
US,01TN
US,01TS
US,01VA
US,01WY
US,02AA
US,02AK
US,02AL
US,02AR
US,02CD
US,02CO
US,02FA
US,02FD
US,02GA
US,02GE
US,02ID
US,02IN
US,02KS
US,02MD
US,02ME
US,02MI
US,02MN
US,02MO
US,02MS
US,02MT
US,02NV
US,02OK
US,02PR
US,02SC
US,02TN
US,02TS
US,02UT
US,02VA
US,02WA
US,02WI
US,02WN
US,02XA
US,02XS
US,03AZ
US,03FA
US,03GA
US,03IA
US,03ID
US,03IL
US,03KY
US,03MA
US,03ME
US,03MN
US,03MO
US,03MU
US,03NC
US,03ND
US,03NV
US,03NY
US,03OH
US,03OK
US,03OL
US,03OR
US,03PR
US,03TE
US,03TT
US,03UT
US,03WA
US,03WN
US,03XS
US,04AA
US,04AN
US,04AZ
US,04CA
US,04CL
US,04FA
US,04FL
US,04IA
US,04ID
US,04IL
US,04IS
US,04KS
US,04KY
US,04MA
US,04ME
US,04MI
US,04MN
US,04MS
US,04MT
US,04NE
US,04NJ
US,04NV
US,04NY
US,04OR
US,04TN
US,04TT
US,04TX
US,04UT
US,04VT
US,04WA
US,04WI
US,04WN
US,04XA
US,05AK
US,05AN
US,05AR
US,05CL
US,05CO
US,05FA
US,05FL
US,05GA
US,05IA
US,05ID
US,05IL
US,05IN
US,05KS
US,05KT
US,05KY
US,05LA
US,05LS
US,05MD
US,05ME
US,05MO
US,05MT
US,05NC
US,05NE
US,05NV
US,05OH
US,05OK
US,05OR
US,05PS
US,05TA
US,05TE
US,05TS
US,05TX
US,05VA
US,05WI
US,05WN
US,05XS
US,06AA
US,06AK
US,06AN
US,06AR
US,06CO
US,06FA
US,06FD
US,06IA
US,06ID
US,06IL
US,06IS
US,06MO
US,06MT
US,06NC
US,06NH
US,06NV
US,06NY
US,06OH
US,06OI
US,06PA
US,06TA
US,06TE
US,06TN
US,06TS
US,06TT
US,06TX
US,06VA
US,06WI
US,06WN
US,06XA
US,06XS
US,07AA
US,07AN
US,07AR
US,07CL
US,07CO
US,07FA
US,07GA
US,07GE
US,07IA
US,07ID
US,07IN
US,07KS
US,07KY
US,07LA
US,07MD
US,07MO
US,07MT
US,07NC
US,07NV
US,07OK
US,07PA
US,07PN
US,07TA
US,07TS
US,07UT
US,07VA
US,07VT
US,08AK
US,08AR
US,08CL
US,08CO
US,08FA
US,08FD
US,08FL
US,08GA
US,08ID
US,08IL
US,08KS
US,08KY
US,08LL
US,08LS
US,08ME
US,08MO
US,08MS
US,08MT
US,08NC
US,08ND
US,08NR
US,08NY
US,08OH
US,08OK
US,08OL
US,08OR
US,08TN
US,08TS
US,08TT
US,08TX
US,08WA
US,08WI
US,08XA
US,08XS
US,09AK
US,09AZ
US,09CL
US,09CO
US,09FA
US,09FD
US,09GA
US,09GE
US,09IA
US,09ID
US,09IN
US,09KS
US,09LL
US,09ME
US,09MO
US,09NC
US,09NE
US,09NR
US,09OK
US,09PA
US,09TA
US,09TS
US,09VA
US,09WI
US,0AA1
US,0AA4
US,0AA5
US,0AA7
US,0AK0
US,0AK1
US,0AK2
US,0AK3
US,0AK5
US,0AK6
US,0AK7
US,0AK8
US,0AK9
US,0AL1
US,0AL5
US,0AL9
US,0AR2
US,0AR3
US,0AZ2
US,0AZ4
US,0AZ5
US,0CA0
US,0CA4
US,0CA5
US,0CA6
US,0CA9
US,0CD2
US,0CD5
US,0CD7
US,0CL0
US,0CL1
US,0CL3
US,0CN1
US,0CN2
US,0CO1
US,0CO2
US,0CO5
US,0CO6
US,0CO9
US,0FA1
US,0FD0
US,0FD3
US,0FD4
US,0FD5
US,0FD9
US,0FL0
US,0FL9
US,0GA0
US,0GA1
US,0GA2
US,0GA3
US,0GA6
US,0GA8
US,0GA9
US,0GE0
US,0GE1
US,0GE3
US,0GE4
US,0GE5
US,0GE7
US,0GE9
US,0IA4
US,0IA5
US,0IA8
US,0ID0
US,0ID1
US,0ID2
US,0ID3
US,0ID4
US,0ID7
US,0ID8
US,0ID9
US,0II0
US,0II7
US,0II8
US,0II9
US,0IL2
US,0IL7
US,0IL9
US,0IN1
US,0IN4
US,0IN5
US,0IN9
US,0IS3
US,0KS0
US,0KS2
US,0KS4
US,0KS5
US,0KS6
US,0KS7
US,0KS8
US,0KS9
US,0KY0
US,0KY1
US,0KY5
US,0KY7
US,0LA1
US,0LA3
US,0LA9
US,0LL0
US,0LL1
US,0LL3
US,0LL4
US,0LL5
US,0LL6
US,0LS0
US,0LS5
US,0LS7
US,0MD1
US,0MD2
US,0MD6
US,0ME4
US,0MI4
US,0MO0
US,0MO1
US,0MO3
US,0MO6
US,0MO8
US,0MS0
US,0MS2
US,0MS7
US,0MS8
US,0MS9
US,0MT4
US,0MT5
US,0MT6
US,0MT7
US,0MT9
US,0MU1
US,0MU7
US,0MU9
US,0NA1
US,0NA9
US,0NC1
US,0NC7
US,0NC8
US,0ND0
US,0ND6
US,0NE0
US,0NE1
US,0NE9
US,0NJ6
US,0NK0
US,0NK2
US,0NK3
US,0NM0
US,0NM7
US,0NY0
US,0NY1
US,0NY3
US,0NY7
US,0NY8
US,0OH5
US,0OH8
US,0OI6
US,0OI9
US,0OK1
US,0OK2
US,0OK3
US,0OK4
US,0OK5
US,0OK6
US,0OK8
US,0OR3
US,0OR6
US,0OR7
US,0OR8
US,0PA2
US,0PA3
US,0PA5
US,0PA6
US,0PN0
US,0PN4
US,0PN5
US,0PN6
US,0PN7
US,0PN8
US,0PS0
US,0PS3
US,0PS4
US,0PS7
US,0SD0
US,0SD1
US,0SD3
US,0SD7
US,0TA2
US,0TA4
US,0TA8
US,0TE0
US,0TE4
US,0TE5
US,0TE7
US,0TN0
US,0TN2
US,0TN5
US,0TN6
US,0TS0
US,0TS1
US,0TS4
US,0TS5
US,0TS7
US,0TS9
US,0TX0
US,0TX1
US,0TX4
US,0TX5
US,0TX6
US,0TX7
US,0VA0
US,0VA1
US,0VA2
US,0VA3
US,0VA4
US,0VA9
US,0VI1
US,0WA1
US,0WA2
US,0WI1
US,0WI2
US,0WI4
US,0WI7
US,0WI8
US,0WI9
US,0WN0
US,0WN1
US,0WN2
US,0WS7
US,0WY0
US,0WY1
US,0XA0
US,0XA4
US,0XA5
US,0XA7
US,0XS2
US,0XS6
US,0XS7
US,0XS8
US,0XS9
US,10AK
US,10AR
US,10AZ
US,10CO
US,10FA
US,10FD
US,10GA
US,10IA
US,10ID
US,10IN
US,10LA
US,10LS
US,10MO
US,10NC
US,10ND
US,10OH
US,10OK
US,10TE
US,10TN
US,10TS
US,10TT
US,10VA
US,10WI
US,10WY
US,10XA
US,10XS
US,11AK
US,11AZ
US,11CL
US,11FA
US,11FL
US,11IA
US,11IN
US,11KS
US,11LL
US,11LS
US,11MA
US,11MD
US,11MO
US,11MT
US,11NK
US,11NY
US,11OA
US,11PN
US,11TE
US,11TN
US,11TS
US,11UT
US,11VG
US,11WA
US,11WY
US,11XA
US,12AR
US,12AZ
US,12CL
US,12CN
US,12CO
US,12IA
US,12ID
US,12IL
US,12IN
US,12KS
US,12KY
US,12LA
US,12LS
US,12ME
US,12MI
US,12MT
US,12NC
US,12ND
US,12NE
US,12NH
US,12NK
US,12NY
US,12OH
US,12OK
US,12OR
US,12SC
US,12TN
US,12TS
US,12TT
US,12TX
US,12VA
US,12WA
US,12WV
US,12WY
US,12XA
US,12XS
US,13AK
US,13FA
US,13GA
US,13GE
US,13IN
US,13KS
US,13KY
US,13ME
US,13MO
US,13MS
US,13MT
US,13NC
US,13NE
US,13NM
US,13NR
US,13OR
US,13PA
US,13TE
US,13TS
US,13TX
US,13WA
US,13WI
US,13XA
US,14AK
US,14AZ
US,14IA
US,14ID
US,14KS
US,14KY
US,14LA
US,14MO
US,14MS
US,14MT
US,14NC
US,14ND
US,14NK
US,14OH
US,14TS
US,14TT
US,14TX
US,14VA
US,14VG
US,14WA
US,14WS
US,14XA
US,14XS
US,15AK
US,15AR
US,15CL
US,15FL
US,15IA
US,15ID
US,15IL
US,15IN
US,15LL
US,15MA
US,15ME
US,15MN
US,15MO
US,15MT
US,15NC
US,15NE
US,15OK
US,15TA
US,15TX
US,15UT
US,15VA
US,15WA
US,15WI
US,15XA
US,15XS
US,16AK
US,16AR
US,16AZ
US,16CO
US,16FA
US,16FD
US,16FL
US,16IA
US,16IL
US,16IS
US,16KS
US,16LS
US,16MD
US,16MI
US,16MO
US,16MT
US,16NC
US,16ND
US,16NE
US,16NY
US,16OI
US,16OK
US,16TA
US,16TE
US,16TT
US,16TX
US,16VA
US,16WA
US,16XS
US,17AR
US,17CL
US,17CO
US,17FA
US,17FL
US,17GA
US,17ID
US,17II
US,17IN
US,17KS
US,17KY
US,17LS
US,17ME
US,17MO
US,17MT
US,17MU
US,17NC
US,17NK
US,17NR
US,17OH
US,17OI
US,17OK
US,17OR
US,17PS
US,17SD
US,17TE
US,17TN
US,17TX
US,17WI
US,17XA
US,17XS
US,18AA
US,18AR
US,18AZ
US,18CL
US,18FD
US,18GA
US,18HI
US,18II
US,18IN
US,18JY
US,18KS
US,18ME
US,18MI
US,18MN
US,18MO
US,18MS
US,18MT
US,18NC
US,18ND
US,18NV
US,18NY
US,18OI
US,18OR
US,18PA
US,18PN
US,18SC
US,18SD
US,18TE
US,18TX
US,18WV
US,18XA
US,19AK
US,19AR
US,19AZ
US,19GA
US,19IA
US,19IN
US,19KY
US,19LA
US,19LL
US,19MO
US,19MS
US,19MT
US,19NC
US,19NE
US,19NK
US,19NY
US,19OR
US,19PA
US,19PN
US,19SC
US,19TA
US,19TN
US,19TS
US,19VA
US,19WA
US,19WI
US,19XS
US,1AA0
US,1AK1
US,1AK2
US,1AK4
US,1AK6
US,1AK8
US,1AL2
US,1AL4
US,1AL5
US,1AL8
US,1AR1
US,1AR2
US,1AR4
US,1AR5
US,1AR6
US,1AR9
US,1AZ0
US,1AZ6
US,1AZ8
US,1CA6
US,1CD1
US,1CD2
US,1CD4
US,1CL1
US,1CL2
US,1CO2
US,1CO3
US,1CO4
US,1CO5
US,1CO8
US,1DE5
US,1FA1
US,1FA3
US,1FA9
US,1FD4
US,1GA0
US,1GA2
US,1GA6
US,1GA8
US,1GA9
US,1GE2
US,1GE3
US,1GE5
US,1GE6
US,1GE7
US,1GE9
US,1ID3
US,1ID4
US,1ID7
US,1ID9
US,1II0
US,1II5
US,1IL0
US,1IL1
US,1IL4
US,1IL9
US,1IN1
US,1IN3
US,1IN4
US,1IN5
US,1IN6
US,1IN9
US,1IS2
US,1IS3
US,1IS4
US,1JY2
US,1KS1
US,1KS2
US,1KS3
US,1KS4
US,1KS6
US,1KS8
US,1KS9
US,1KY7
US,1LA1
US,1LA3
US,1LA4
US,1LA5
US,1LL2
US,1LL4
US,1LL5
US,1LL7
US,1LL8
US,1LS8
US,1MA5
US,1MD1
US,1MD8
US,1MI3
US,1MI4
US,1MI5
US,1MI6
US,1MN0
US,1MN2
US,1MN5
US,1MN8
US,1MO2
US,1MO3
US,1MO4
US,1MO6
US,1MO8
US,1MS2
US,1MS8
US,1MT0
US,1MT3
US,1MT4
US,1MT6
US,1MT7
US,1MT9
US,1MU0
US,1MU2
US,1MU8
US,1MY1
US,1NA5
US,1NA8
US,1NC0
US,1NC2
US,1NC3
US,1NC4
US,1NC5
US,1NC6
US,1NC8
US,1ND4
US,1NE2
US,1NE5
US,1NK6
US,1NK7
US,1NK8
US,1NM0
US,1NR7
US,1NV1
US,1NY3
US,1OA1
US,1OA2
US,1OA4
US,1OH1
US,1OH2
US,1OH3
US,1OH9
US,1OI6
US,1OK0
US,1OK1
US,1OK2
US,1OK3
US,1OK6
US,1OK7
US,1OK8
US,1OK9
US,1OL2
US,1OR0
US,1OR3
US,1OR5
US,1OR7
US,1PA0
US,1PA3
US,1PA4
US,1PN1
US,1PN7
US,1PS0
US,1PS9
US,1SC1
US,1SC2
US,1SC3
US,1SD0
US,1SD1
US,1SD3
US,1SD4
US,1SD5
US,1SD6
US,1TA1
US,1TA2
US,1TA4
US,1TA7
US,1TA8
US,1TE0
US,1TE1
US,1TE4
US,1TE5
US,1TE7
US,1TE8
US,1TE9
US,1TN0
US,1TN3
US,1TN8
US,1TN9
US,1TS1
US,1TS6
US,1TS8
US,1TS9
US,1TT8
US,1TX0
US,1TX3
US,1TX4
US,1TX5
US,1TX6
US,1TX9
US,1VA0
US,1VA1
US,1VA3
US,1VA8
US,1VG2
US,1VT8
US,1WA2
US,1WA6
US,1WI3
US,1WI6
US,1WI7
US,1WI8
US,1WI9
US,1WN0
US,1WN1
US,1WN3
US,1XA1
US,1XA4
US,1XA5
US,1XA6
US,1XA7
US,1XA8
US,1XS0
US,1XS1
US,1XS2
US,1XS4
US,1XS8
US,20AK
US,20AR
US,20CL
US,20FD
US,20FL
US,20GA
US,20IA
US,20ID
US,20IN
US,20IS
US,20KS
US,20KT
US,20KY
US,20LS
US,20MS
US,20MT
US,20NC
US,20NY
US,20OH
US,20OR
US,20SD
US,20TA
US,20TN
US,20TS
US,20TT
US,20VA
US,20VG
US,20WA
US,20WI
US,20XS
US,21AK
US,21AR
US,21AZ
US,21FA
US,21FL
US,21GE
US,21IN
US,21LA
US,21LS
US,21ME
US,21MO
US,21MS
US,21MT
US,21MU
US,21ND
US,21NH
US,21NK
US,21OG
US,21OI
US,21TX
US,21VA
US,21XS
US,22CL
US,22CO
US,22FA
US,22GA
US,22ID
US,22II
US,22IL
US,22IN
US,22LA
US,22LS
US,22MD
US,22MS
US,22MT
US,22NC
US,22OG
US,22OK
US,22OR
US,22TA
US,22UT
US,22WN
US,22WY
US,22XA
US,22XS
US,23AK
US,23AR
US,23AZ
US,23CD
US,23CO
US,23DE
US,23FL
US,23GE
US,23ID
US,23IS
US,23JY
US,23KS
US,23KY
US,23LA
US,23MI
US,23MN
US,23MO
US,23MS
US,23MT
US,23MU
US,23ND
US,23NH
US,23NJ
US,23NK
US,23NR
US,23NY
US,23PA
US,23TA
US,23TS
US,23VA
US,23VG
US,23WN
US,23XA
US,23XS
US,24AK
US,24AR
US,24AZ
US,24CL
US,24CT
US,24FL
US,24IA
US,24ID
US,24IN
US,24KS
US,24LL
US,24ME
US,24MO
US,24MT
US,24NC
US,24NE
US,24NJ
US,24OI
US,24SC
US,24TA
US,24VA
US,24XA
US,25AA
US,25AK
US,25AR
US,25AZ
US,25CA
US,25CD
US,25CL
US,25CO
US,25FL
US,25GA
US,25IA
US,25IL
US,25IN
US,25KS
US,25LA
US,25MD
US,25MI
US,25MO
US,25MT
US,25NC
US,25ND
US,25NH
US,25NK
US,25NM
US,25NV
US,25OH
US,25OK
US,25SC
US,25TA
US,25TS
US,25TX
US,25VA
US,25VG
US,25WA
US,25WN
US,25XA
US,25XS
US,26AL
US,26AR
US,26AZ
US,26CA
US,26CL
US,26FD
US,26ID
US,26IN
US,26IS
US,26MA
US,26MI
US,26MN
US,26MT
US,26NC
US,26NV
US,26OG
US,26OH
US,26OK
US,26WI
US,26XS
US,27AK
US,27AL
US,27AZ
US,27CA
US,27CL
US,27FA
US,27GA
US,27IA
US,27ID
US,27IS
US,27KS
US,27LL
US,27MD
US,27MI
US,27MN
US,27MO
US,27MS
US,27MT
US,27ND
US,27NE
US,27NK
US,27NR
US,27OH
US,27OK
US,27TX
US,27WA
US,27WI
US,27WV
US,27XS
US,28AK
US,28AL
US,28AR
US,28AZ
US,28CA
US,28FL
US,28ID
US,28II
US,28KY
US,28MA
US,28MI
US,28MN
US,28MO
US,28MT
US,28NK
US,28NR
US,28NY
US,28OH
US,28OK
US,28OR
US,28PA
US,28TA
US,28TE
US,28TT
US,28TX
US,28WA
US,28WI
US,28XS
US,29AK
US,29AZ
US,29CN
US,29GA
US,29IA
US,29IN
US,29KY
US,29MI
US,29MN
US,29MO
US,29MT
US,29NC
US,29NH
US,29OH
US,29OK
US,29OR
US,29PA
US,29SC
US,29TX
US,29VA
US,29WI
US,2AK0
US,2AK1
US,2AK2
US,2AK4
US,2AK5
US,2AK6
US,2AK8
US,2AK9
US,2AL1
US,2AL3
US,2AL5
US,2AL6
US,2AL7
US,2AL8
US,2AR0
US,2AR1
US,2AR2
US,2AR4
US,2AR5
US,2AR7
US,2AR8
US,2AZ1
US,2AZ4
US,2AZ9
US,2CA2
US,2CA3
US,2CA4
US,2CA8
US,2CD3
US,2CD4
US,2CD6
US,2CD9
US,2CL1
US,2CL3
US,2CL9
US,2CN3
US,2CN4
US,2CN8
US,2CO1
US,2CO2
US,2CO3
US,2CO5
US,2DE2
US,2DE3
US,2DE8
US,2FA1
US,2FA2
US,2FA3
US,2FA4
US,2FA5
US,2FA6
US,2FA7
US,2FA9
US,2FD0
US,2FD1
US,2FD2
US,2FD6
US,2FL0
US,2FL3
US,2FL8
US,2GA0
US,2GA1
US,2GA2
US,2GA5
US,2GA7
US,2GA8
US,2GA9
US,2GE7
US,2GE8
US,2IA7
US,2IA9
US,2ID2
US,2ID3
US,2ID5
US,2ID6
US,2II0
US,2II3
US,2II6
US,2IL0
US,2IL1
US,2IL2
US,2IL7
US,2IL9
US,2IN0
US,2IN2
US,2IN3
US,2IN4
US,2IN6
US,2IS3
US,2IS4
US,2IS9
US,2KS2
US,2KS3
US,2KS4
US,2KS5
US,2KS6
US,2KS8
US,2KS9
US,2KT4
US,2KY3
US,2KY4
US,2KY5
US,2LA0
US,2LA4
US,2LA5
US,2LA6
US,2LA7
US,2LA8
US,2LL1
US,2LL2
US,2LL3
US,2LL7
US,2LL9
US,2LS3
US,2MD0
US,2MD1
US,2MD3
US,2MD4
US,2MD6
US,2MD8
US,2ME3
US,2MI0
US,2MI3
US,2MI5
US,2MI6
US,2MI9
US,2MN0
US,2MN1
US,2MN2
US,2MN4
US,2MN6
US,2MN7
US,2MN8
US,2MO0
US,2MO1
US,2MO2
US,2MO4
US,2MO6
US,2MO7
US,2MO9
US,2MS3
US,2MS8
US,2MT0
US,2MT1
US,2MT2
US,2MT5
US,2MT8
US,2MT9
US,2MU9
US,2MY2
US,2MY4
US,2NA0
US,2NC0
US,2NC1
US,2NC4
US,2NC6
US,2NC7
US,2NC8
US,2ND0
US,2ND1
US,2ND2
US,2ND3
US,2ND5
US,2ND9
US,2NE0
US,2NE3
US,2NE6
US,2NE7
US,2NE8
US,2NH5
US,2NJ1
US,2NJ3
US,2NJ5
US,2NK3
US,2NK9
US,2NM9
US,2NR2
US,2NV2
